user,year,coord_given,coord_received,e_central,e_central_chg
Guyonthesubway,2009,,,1.1416216230602945e-06,-1.141620353788847e-06
Guyonthesubway,2010,,,1.2692714476168482e-12,3.2987715617349956e-06
Irpen,2006,,,2.9265066294863506e-07,0.0004753820396825588
Irpen,2007,-0.4444444444444444,0.5,0.0004756746903455074,-0.00035315024025902426
MTLskyline,2009,-0.20833333333333334,2.7755575615628914e-17,6.226492888648517e-06,-3.989785653650105e-06
MTLskyline,2010,0.25,,2.2367072349984124e-06,0.00048760993013712256
BD2412,2006,0.5,0.5,1.3620272713524173e-06,-1.3590503644683662e-06
BD2412,2007,,,2.976906884051041e-09,2.425320474473332e-06
BD2412,2008,,,2.428297381357383e-06,0.0012431048727700412
BD2412,2009,,,0.0012455331701513987,-0.0011691173331966826
BD2412,2010,0.1722222222222222,-0.32916666666666666,7.641583695471597e-05,0.0007864288758401921
TeaDrinker,2009,-0.5,,2.798310508208156e-06,4.057354048383409e-05
TeaDrinker,2010,0.04166666666666666,0.33333333333333337,4.337185099204225e-05,-4.305259056036984e-05
TeaDrinker,2006,,,1.1366884800029909e-06,1.3303251371282594e-06
Cyfal,2008,0.20833333333333337,-0.20833333333333331,2.8404847605228258e-05,-7.394446594952101e-06
Cyfal,2009,0.20833333333333331,,2.1010401010276157e-05,-2.0090593907760112e-05
Cyfal,2010,,,9.198071025160466e-07,0.00019779283052948632
Three-quarter-ten,2009,,,4.515210840664601e-05,-3.762199983716077e-05
Three-quarter-ten,2010,0.08333333333333331,-0.16666666666666663,7.530108569485238e-06,0.006039309660305945
Teke,2006,,,2.377889622197978e-06,-1.1120085428948848e-06
Gaius Cornelius,2009,-0.25,-0.25,2.3847333743147495e-05,0.0001487250828866054
Gaius Cornelius,2010,0.13888888888888887,-0.029166666666666674,0.0001725724166297529,-0.00011077718344334541
Henriok,2008,,,3.320460079447185e-08,5.97438602303327e-08
Henriok,2006,,,4.895908428256367e-12,-1.1392796883151334e-12
Henriok,2007,,,3.756628739941233e-12,3.3200844165731906e-08
Joelmills,2007,,,0.0004322476865688283,-0.00043192979561646047
Stanistani,2008,0.5,-0.5,0.0002711644974120371,-6.408884228366221e-05
Edison,2006,,,8.422208719940769e-06,0.00019264658954525123
Edison,2007,,0.5,0.000201068798265192,-0.0002002463098883096
Edison,2008,,-0.5,8.224883768824013e-07,7.038579652306171e-05
Edison,2009,0.06666666666666665,0.06666666666666665,7.120828489994412e-05,-7.055225389360347e-05
Edison,2010,,,6.560310063406505e-07,0.00010958301432345248
Wahrerwattwurm,2007,,,1.6645117813777072e-11,6.211382565232692e-11
MishMich,2009,,0.0,8.756358890296178e-07,2.5045482996863894e-05
Keepscases,2010,0.5,,0.001356296661074984,-0.0008339340916239883
RobLa,2006,,,1.3926341746244318e-08,-1.3919127354510494e-08
Giorgos Tzimas,2008,0.15714285714285717,0.26607142857142857,3.7154685091051734e-06,-3.5844531478881027e-06
Shoovrow,2008,0.07197722912008624,-0.011909519052376194,0.0030449911868843846,0.017521902665992368
Shoovrow,2007,,0.1607142857142857,0.02516524006347006,-0.022120248876585678
Brianboulton,2008,-0.5,-0.21349206349206343,0.0001367434708861393,0.003908569403649977
Brianboulton,2009,-0.5,-0.23886312100597815,0.004045312874536116,-0.004031994813983474
Brianboulton,2010,,0.0761904761904762,1.3318060552641574e-05,0.0016023133921099317
Look2See1,2010,0.12380952380952386,0.3119047619047619,0.001013142072448605,-0.001011283494844767
Ahadland1234,2006,,,1.8715978357756894e-06,2.1969580649117678e-05
Paul20070,2007,,,6.955557739564477e-05,-6.888738657562475e-05
NeoFreak,2006,,,2.27585765672902e-08,4.304754868337641e-07
